Año;Proceso;Órgano;Sexo;Grupo de edad;Cantidad;Tipo de donante
2016;Donación;Pulmón;Mujer;No aplica;0;Donante cadaverico
2017;Donación;Riñón;Hombre;No aplica;45;Donante vivo 
2017;Donación;Riñón;Mujer;No aplica;46;Donante vivo 
2017;Donación;Riñón;Hombre;No aplica;127;Donante cadaverico
2017;Donación;Riñón;Mujer;No aplica;100;Donante cadaverico
2017;Donación;Corazón;Hombre;No aplica;0;Donante vivo 
2017;Donación;Corazón;Mujer;No aplica;0;Donante vivo 
2017;Donación;Corazón;Hombre;No aplica;14;Donante cadaverico
2017;Donación;Corazón;Mujer;No aplica;7;Donante cadaverico
2017;Donación;Hígado;Hombre;No aplica;12;Donante vivo 
2017;Donación;Hígado;Mujer;No aplica;14;Donante vivo 
2017;Donación;Hígado;Hombre;No aplica;47;Donante cadaverico
2017;Donación;Hígado;Mujer;No aplica;27;Donante cadaverico
2017;Donación;Pulmón;Hombre;No aplica;0;Donante vivo 
2017;Donación;Pulmón;Mujer;No aplica;0;Donante vivo 
2017;Donación;Pulmón;Hombre;No aplica;4;Donante cadaverico
2017;Donación;Pulmón;Mujer;No aplica;3;Donante cadaverico
2018;Donación;Riñón;Hombre;No aplica;21;Donante vivo 
2018;Donación;Riñón;Mujer;No aplica;60;Donante vivo 
2018;Donación;Riñón;Hombre;No aplica;97;Donante cadaverico
2018;Donación;Riñón;Mujer;No aplica;83;Donante cadaverico
2018;Donación;Corazón;Hombre;No aplica;0;Donante vivo 
2018;Donación;Corazón;Mujer;No aplica;0;Donante vivo 
2018;Donación;Corazón;Hombre;No aplica;7;Donante cadaverico
2018;Donación;Corazón;Mujer;No aplica;3;Donante cadaverico
2018;Donación;Hígado;Hombre;No aplica;10;Donante vivo 
2018;Donación;Hígado;Mujer;No aplica;18;Donante vivo 
2018;Donación;Hígado;Hombre;No aplica;32;Donante cadaverico
2018;Donación;Hígado;Mujer;No aplica;26;Donante cadaverico
2018;Donación;Pulmón;Hombre;No aplica;0;Donante vivo 
2018;Donación;Pulmón;Mujer;No aplica;0;Donante vivo 
2018;Donación;Pulmón;Hombre;No aplica;2;Donante cadaverico
2018;Donación;Pulmón;Mujer;No aplica;6;Donante cadaverico
2019;Donación;Riñón;Hombre;No aplica;61;Donante vivo 
2019;Donación;Riñón;Mujer;No aplica;38;Donante vivo 
2019;Donación;Riñón;Hombre;No aplica;45;Donante cadaverico
2019;Donación;Riñón;Mujer;No aplica;42;Donante cadaverico
2019;Donación;Corazón;Hombre;No aplica;0;Donante vivo 
2019;Donación;Corazón;Mujer;No aplica;0;Donante vivo 
2019;Donación;Corazón;Hombre;No aplica;11;Donante cadaverico
2019;Donación;Corazón;Mujer;No aplica;9;Donante cadaverico
2019;Donación;Hígado;Hombre;No aplica;14;Donante vivo 
2019;Donación;Hígado;Mujer;No aplica;25;Donante vivo 
2019;Donación;Hígado;Hombre;No aplica;32;Donante cadaverico
2019;Donación;Hígado;Mujer;No aplica;25;Donante cadaverico
2019;Donación;Pulmón;Hombre;No aplica;0;Donante vivo 
2019;Donación;Pulmón;Mujer;No aplica;0;Donante vivo 
2019;Donación;Pulmón;Hombre;No aplica;5;Donante cadaverico
2019;Donación;Pulmón;Mujer;No aplica;6;Donante cadaverico
2019;Donación;Combinado Riñón-Hígado;Hombre;No aplica;2;Donante vivo 
2019;Donación;Combinado Riñón-Hígado;Mujer;No aplica;1;Donante vivo 
2019;Donación;Combinado Riñón-Hígado;Hombre;No aplica;0;Donante cadaverico
2019;Donación;Combinado Riñón-Hígado;Mujer;No aplica;0;Donante cadaverico
2019;Donación;Tejidos (Córneas);Hombre;No aplica;0;Donante vivo 
2019;Donación;Tejidos (Córneas);Mujer;No aplica;0;Donante vivo 
2019;Donación;Tejidos (Córneas);Hombre;No aplica;50;Donante cadaverico
2019;Donación;Tejidos (Córneas);Mujer;No aplica;35;Donante cadaverico
2020;Donación;Riñón;Hombre;No aplica;30;Donante vivo 
2020;Donación;Riñón;Mujer;No aplica;28;Donante vivo 
2020;Donación;Riñón;Hombre;No aplica;29;Donante cadaverico
2020;Donación;Riñón;Mujer;No aplica;21;Donante cadaverico
2020;Donación;Corazón;Hombre;No aplica;0;Donante vivo 
2020;Donación;Corazón;Mujer;No aplica;0;Donante vivo 
2020;Donación;Corazón;Hombre;No aplica;13;Donante cadaverico
2020;Donación;Corazón;Mujer;No aplica;2;Donante cadaverico
2020;Donación;Hígado;Hombre;No aplica;21;Donante vivo 
2020;Donación;Hígado;Mujer;No aplica;29;Donante vivo 
2020;Donación;Hígado;Hombre;No aplica;18;Donante cadaverico
2020;Donación;Hígado;Mujer;No aplica;14;Donante cadaverico
2020;Donación;Pulmón;Hombre;No aplica;0;Donante vivo 
2020;Donación;Pulmón;Mujer;No aplica;0;Donante vivo 
2020;Donación;Pulmón;Hombre;No aplica;1;Donante cadaverico
2020;Donación;Pulmón;Mujer;No aplica;1;Donante cadaverico
2020;Donación;Combinado Riñón-Hígado;Hombre;No aplica;0;Donante vivo 
2020;Donación;Combinado Riñón-Hígado;Mujer;No aplica;1;Donante vivo 
2020;Donación;Combinado Riñón-Hígado;Hombre;No aplica;0;Donante cadaverico
2020;Donación;Combinado Riñón-Hígado;Mujer;No aplica;0;Donante cadaverico
2020;Donación;Tejidos (Córneas);Hombre;No aplica;0;Donante vivo 
2020;Donación;Tejidos (Córneas);Mujer;No aplica;0;Donante vivo 
2020;Donación;Tejidos (Córneas);Hombre;No aplica;15;Donante cadaverico
2020;Donación;Tejidos (Córneas);Mujer;No aplica;14;Donante cadaverico
2021;Donación;Riñón;Hombre;No aplica;39;Donante vivo 
2021;Donación;Riñón;Mujer;No aplica;22;Donante vivo 
2021;Donación;Riñón;Hombre;No aplica;38;Donante cadaverico
2021;Donación;Riñón;Mujer;No aplica;41;Donante cadaverico
2021;Donación;Corazón;Hombre;No aplica;0;Donante vivo 
2021;Donación;Corazón;Mujer;No aplica;0;Donante vivo 
2021;Donación;Corazón;Hombre;No aplica;11;Donante cadaverico
2021;Donación;Corazón;Mujer;No aplica;8;Donante cadaverico
2021;Donación;Hígado;Hombre;No aplica;22;Donante vivo 
2021;Donación;Hígado;Mujer;No aplica;29;Donante vivo 
2021;Donación;Hígado;Hombre;No aplica;24;Donante cadaverico
2021;Donación;Hígado;Mujer;No aplica;22;Donante cadaverico
2021;Donación;Pulmón;Hombre;No aplica;0;Donante vivo 
2021;Donación;Pulmón;Mujer;No aplica;0;Donante vivo 
2021;Donación;Pulmón;Hombre;No aplica;5;Donante cadaverico
2021;Donación;Pulmón;Mujer;No aplica;1;Donante cadaverico
2021;Donación;Combinado Riñón-Hígado;Hombre;No aplica;0;Donante vivo 
2021;Donación;Combinado Riñón-Hígado;Mujer;No aplica;0;Donante vivo 
2021;Donación;Combinado Riñón-Hígado;Hombre;No aplica;2;Donante cadaverico
2021;Donación;Combinado Riñón-Hígado;Mujer;No aplica;0;Donante cadaverico
2021;Donación;Tejidos (Córneas);Hombre;No aplica;0;Donante vivo 
2021;Donación;Tejidos (Córneas);Mujer;No aplica;0;Donante vivo 
2021;Donación;Tejidos (Córneas);Hombre;No aplica;21;Donante cadaverico
2021;Donación;Tejidos (Córneas);Mujer;No aplica;14;Donante cadaverico
2022;Donación;Riñón;Hombre;No aplica;45;Donante vivo 
2022;Donación;Riñón;Mujer;No aplica;53;Donante vivo 
2022;Donación;Riñón;Hombre;No aplica;148;Donante cadaverico
2022;Donación;Riñón;Mujer;No aplica;99;Donante cadaverico
2022;Donación;Corazón;Hombre;No aplica;0;Donante vivo 
2022;Donación;Corazón;Mujer;No aplica;0;Donante vivo 
2022;Donación;Corazón;Hombre;No aplica;14;Donante cadaverico
2022;Donación;Corazón;Mujer;No aplica;6;Donante cadaverico
2022;Donación;Hígado;Hombre;No aplica;24;Donante vivo 
2022;Donación;Hígado;Mujer;No aplica;27;Donante vivo 
2022;Donación;Hígado;Hombre;No aplica;52;Donante cadaverico
2022;Donación;Hígado;Mujer;No aplica;18;Donante cadaverico
2022;Donación;Pulmón;Hombre;No aplica;0;Donante vivo 
2022;Donación;Pulmón;Mujer;No aplica;0;Donante vivo 
2022;Donación;Pulmón;Hombre;No aplica;10;Donante cadaverico
2022;Donación;Pulmón;Mujer;No aplica;6;Donante cadaverico
2022;Donación;Combinado Riñón-Hígado;Hombre;No aplica;0;Donante vivo 
2022;Donación;Combinado Riñón-Hígado;Mujer;No aplica;0;Donante vivo 
2022;Donación;Combinado Riñón-Hígado;Hombre;No aplica;1;Donante cadaverico
2022;Donación;Combinado Riñón-Hígado;Mujer;No aplica;0;Donante cadaverico
2022;Donación;Tejidos (Córneas);Hombre;No aplica;0;Donante vivo 
2022;Donación;Tejidos (Córneas);Mujer;No aplica;0;Donante vivo 
2022;Donación;Tejidos (Córneas);Hombre;No aplica;32;Donante cadaverico
2022;Donación;Tejidos (Córneas);Mujer;No aplica;18;Donante cadaverico
2015;Lista de espera de donación de órganos;Riñón;Hombre;0-9 años;3;No aplica
2015;Lista de espera de donación de órganos;Riñón;Hombre;10-19 años;17;No aplica
2015;Lista de espera de donación de órganos;Riñón;Hombre;20-29 años;56;No aplica
2015;Lista de espera de donación de órganos;Riñón;Hombre;30-39 años;161;No aplica
2015;Lista de espera de donación de órganos;Riñón;Hombre;40-49 años;147;No aplica
2015;Lista de espera de donación de órganos;Riñón;Hombre;50-59 años;204;No aplica
2015;Lista de espera de donación de órganos;Riñón;Hombre;60-69 años;140;No aplica
2015;Lista de espera de donación de órganos;Riñón;Hombre;> 70  años;46;No aplica
2015;Lista de espera de donación de órganos;Riñón;Mujer;0-9 años;2;No aplica
2015;Lista de espera de donación de órganos;Riñón;Mujer;10-19 años;11;No aplica
2015;Lista de espera de donación de órganos;Riñón;Mujer;20-29 años;67;No aplica
2015;Lista de espera de donación de órganos;Riñón;Mujer;30-39 años;135;No aplica
2015;Lista de espera de donación de órganos;Riñón;Mujer;40-49 años;126;No aplica
2015;Lista de espera de donación de órganos;Riñón;Mujer;50-59 años;150;No aplica
2015;Lista de espera de donación de órganos;Riñón;Mujer;60-69 años;68;No aplica
2015;Lista de espera de donación de órganos;Riñón;Mujer;> 70  años;14;No aplica
2015;Lista de espera de donación de órganos;Corazón;Hombre;0-9 años;0;No aplica
2015;Lista de espera de donación de órganos;Corazón;Hombre;10-19 años;0;No aplica
2015;Lista de espera de donación de órganos;Corazón;Hombre;20-29 años;0;No aplica
2015;Lista de espera de donación de órganos;Corazón;Hombre;30-39 años;0;No aplica
2015;Lista de espera de donación de órganos;Corazón;Hombre;40-49 años;0;No aplica
2015;Lista de espera de donación de órganos;Corazón;Hombre;50-59 años;1;No aplica
2015;Lista de espera de donación de órganos;Corazón;Hombre;60-69 años;1;No aplica
2015;Lista de espera de donación de órganos;Corazón;Hombre;> 70  años;1;No aplica
2015;Lista de espera de donación de órganos;Corazón;Mujer;0-9 años;0;No aplica
2015;Lista de espera de donación de órganos;Corazón;Mujer;10-19 años;0;No aplica
2015;Lista de espera de donación de órganos;Corazón;Mujer;20-29 años;0;No aplica
2015;Lista de espera de donación de órganos;Corazón;Mujer;30-39 años;0;No aplica
2015;Lista de espera de donación de órganos;Corazón;Mujer;40-49 años;0;No aplica
2015;Lista de espera de donación de órganos;Corazón;Mujer;50-59 años;0;No aplica
2015;Lista de espera de donación de órganos;Corazón;Mujer;60-69 años;1;No aplica
2015;Lista de espera de donación de órganos;Corazón;Mujer;> 70  años;0;No aplica
2015;Lista de espera de donación de órganos;Hígado;Hombre;0-9 años;0;No aplica
2015;Lista de espera de donación de órganos;Hígado;Hombre;10-19 años;0;No aplica
2015;Lista de espera de donación de órganos;Hígado;Hombre;20-29 años;0;No aplica
2015;Lista de espera de donación de órganos;Hígado;Hombre;30-39 años;0;No aplica
2015;Lista de espera de donación de órganos;Hígado;Hombre;40-49 años;1;No aplica
2015;Lista de espera de donación de órganos;Hígado;Hombre;50-59 años;6;No aplica
2015;Lista de espera de donación de órganos;Hígado;Hombre;60-69 años;3;No aplica
2015;Lista de espera de donación de órganos;Hígado;Hombre;> 70  años;3;No aplica
2015;Lista de espera de donación de órganos;Hígado;Mujer;0-9 años;1;No aplica
2015;Lista de espera de donación de órganos;Hígado;Mujer;10-19 años;2;No aplica
2015;Lista de espera de donación de órganos;Hígado;Mujer;20-29 años;3;No aplica
2015;Lista de espera de donación de órganos;Hígado;Mujer;30-39 años;2;No aplica
2015;Lista de espera de donación de órganos;Hígado;Mujer;40-49 años;3;No aplica
2015;Lista de espera de donación de órganos;Hígado;Mujer;50-59 años;8;No aplica
2015;Lista de espera de donación de órganos;Hígado;Mujer;60-69 años;18;No aplica
2015;Lista de espera de donación de órganos;Hígado;Mujer;> 70  años;2;No aplica
2015;Lista de espera de donación de órganos;Pulmón;Hombre;0-9 años;0;No aplica
2015;Lista de espera de donación de órganos;Pulmón;Hombre;10-19 años;0;No aplica
2015;Lista de espera de donación de órganos;Pulmón;Hombre;20-29 años;2;No aplica
2015;Lista de espera de donación de órganos;Pulmón;Hombre;30-39 años;1;No aplica
2015;Lista de espera de donación de órganos;Pulmón;Hombre;40-49 años;0;No aplica
2015;Lista de espera de donación de órganos;Pulmón;Hombre;50-59 años;5;No aplica
2015;Lista de espera de donación de órganos;Pulmón;Hombre;60-69 años;1;No aplica
2015;Lista de espera de donación de órganos;Pulmón;Hombre;> 70  años;0;No aplica
2015;Lista de espera de donación de órganos;Pulmón;Mujer;0-9 años;0;No aplica
2015;Lista de espera de donación de órganos;Pulmón;Mujer;10-19 años;0;No aplica
2015;Lista de espera de donación de órganos;Pulmón;Mujer;20-29 años;0;No aplica
2015;Lista de espera de donación de órganos;Pulmón;Mujer;30-39 años;0;No aplica
2015;Lista de espera de donación de órganos;Pulmón;Mujer;40-49 años;1;No aplica
2015;Lista de espera de donación de órganos;Pulmón;Mujer;50-59 años;4;No aplica
2015;Lista de espera de donación de órganos;Pulmón;Mujer;60-69 años;4;No aplica
2015;Lista de espera de donación de órganos;Pulmón;Mujer;> 70  años;0;No aplica
2015;Lista de espera de donación de órganos;Tejidos (Córneas);Hombre;0-9 años;0;No aplica
2015;Lista de espera de donación de órganos;Tejidos (Córneas);Hombre;10-19 años;6;No aplica
2015;Lista de espera de donación de órganos;Tejidos (Córneas);Hombre;20-29 años;28;No aplica
2015;Lista de espera de donación de órganos;Tejidos (Córneas);Hombre;30-39 años;48;No aplica
2015;Lista de espera de donación de órganos;Tejidos (Córneas);Hombre;40-49 años;25;No aplica
2015;Lista de espera de donación de órganos;Tejidos (Córneas);Hombre;50-59 años;40;No aplica
2015;Lista de espera de donación de órganos;Tejidos (Córneas);Hombre;60-69 años;22;No aplica
2015;Lista de espera de donación de órganos;Tejidos (Córneas);Hombre;> 70  años;42;No aplica
2015;Lista de espera de donación de órganos;Tejidos (Córneas);Mujer;0-9 años;0;No aplica
2015;Lista de espera de donación de órganos;Tejidos (Córneas);Mujer;10-19 años;8;No aplica
2015;Lista de espera de donación de órganos;Tejidos (Córneas);Mujer;20-29 años;24;No aplica
2015;Lista de espera de donación de órganos;Tejidos (Córneas);Mujer;30-39 años;45;No aplica
2015;Lista de espera de donación de órganos;Tejidos (Córneas);Mujer;40-49 años;41;No aplica
2015;Lista de espera de donación de órganos;Tejidos (Córneas);Mujer;50-59 años;39;No aplica
2015;Lista de espera de donación de órganos;Tejidos (Córneas);Mujer;60-69 años;18;No aplica
2015;Lista de espera de donación de órganos;Tejidos (Córneas);Mujer;> 70  años;45;No aplica
2016;Lista de espera de donación de órganos;Riñón;Hombre;0-9 años;9;No aplica
2016;Lista de espera de donación de órganos;Riñón;Hombre;10-19 años;25;No aplica
2016;Lista de espera de donación de órganos;Riñón;Hombre;20-29 años;102;No aplica
2016;Lista de espera de donación de órganos;Riñón;Hombre;30-39 años;185;No aplica
2016;Lista de espera de donación de órganos;Riñón;Hombre;40-49 años;172;No aplica
2016;Lista de espera de donación de órganos;Riñón;Hombre;50-59 años;236;No aplica
2016;Lista de espera de donación de órganos;Riñón;Hombre;60-69 años;143;No aplica
2016;Lista de espera de donación de órganos;Riñón;Hombre;> 70  años;29;No aplica
2016;Lista de espera de donación de órganos;Riñón;Mujer;0-9 años;5;No aplica
2016;Lista de espera de donación de órganos;Riñón;Mujer;10-19 años;23;No aplica
2016;Lista de espera de donación de órganos;Riñón;Mujer;20-29 años;103;No aplica
2016;Lista de espera de donación de órganos;Riñón;Mujer;30-39 años;163;No aplica
2016;Lista de espera de donación de órganos;Riñón;Mujer;40-49 años;124;No aplica
2016;Lista de espera de donación de órganos;Riñón;Mujer;50-59 años;150;No aplica
2016;Lista de espera de donación de órganos;Riñón;Mujer;60-69 años;63;No aplica
2016;Lista de espera de donación de órganos;Riñón;Mujer;> 70  años;9;No aplica
2016;Lista de espera de donación de órganos;Corazón;Hombre;0-9 años;0;No aplica
2016;Lista de espera de donación de órganos;Corazón;Hombre;10-19 años;0;No aplica
2016;Lista de espera de donación de órganos;Corazón;Hombre;20-29 años;0;No aplica
2016;Lista de espera de donación de órganos;Corazón;Hombre;30-39 años;1;No aplica
2016;Lista de espera de donación de órganos;Corazón;Hombre;40-49 años;1;No aplica
2016;Lista de espera de donación de órganos;Corazón;Hombre;50-59 años;1;No aplica
2016;Lista de espera de donación de órganos;Corazón;Hombre;60-69 años;0;No aplica
2016;Lista de espera de donación de órganos;Corazón;Hombre;> 70  años;0;No aplica
2016;Lista de espera de donación de órganos;Corazón;Mujer;0-9 años;0;No aplica
2016;Lista de espera de donación de órganos;Corazón;Mujer;10-19 años;0;No aplica
2016;Lista de espera de donación de órganos;Corazón;Mujer;20-29 años;0;No aplica
2016;Lista de espera de donación de órganos;Corazón;Mujer;30-39 años;0;No aplica
2016;Lista de espera de donación de órganos;Corazón;Mujer;40-49 años;0;No aplica
2016;Lista de espera de donación de órganos;Corazón;Mujer;50-59 años;0;No aplica
2016;Lista de espera de donación de órganos;Corazón;Mujer;60-69 años;0;No aplica
2016;Lista de espera de donación de órganos;Corazón;Mujer;> 70  años;0;No aplica
2016;Lista de espera de donación de órganos;Hígado;Hombre;0-9 años;3;No aplica
2016;Lista de espera de donación de órganos;Hígado;Hombre;10-19 años;4;No aplica
2016;Lista de espera de donación de órganos;Hígado;Hombre;20-29 años;0;No aplica
2016;Lista de espera de donación de órganos;Hígado;Hombre;30-39 años;2;No aplica
2016;Lista de espera de donación de órganos;Hígado;Hombre;40-49 años;3;No aplica
2016;Lista de espera de donación de órganos;Hígado;Hombre;50-59 años;15;No aplica
2016;Lista de espera de donación de órganos;Hígado;Hombre;60-69 años;8;No aplica
2016;Lista de espera de donación de órganos;Hígado;Hombre;> 70  años;0;No aplica
2016;Lista de espera de donación de órganos;Hígado;Mujer;0-9 años;2;No aplica
2016;Lista de espera de donación de órganos;Hígado;Mujer;10-19 años;2;No aplica
2016;Lista de espera de donación de órganos;Hígado;Mujer;20-29 años;5;No aplica
2016;Lista de espera de donación de órganos;Hígado;Mujer;30-39 años;6;No aplica
2016;Lista de espera de donación de órganos;Hígado;Mujer;40-49 años;5;No aplica
2016;Lista de espera de donación de órganos;Hígado;Mujer;50-59 años;15;No aplica
2016;Lista de espera de donación de órganos;Hígado;Mujer;60-69 años;25;No aplica
2016;Lista de espera de donación de órganos;Hígado;Mujer;> 70  años;2;No aplica
2016;Lista de espera de donación de órganos;Pulmón;Hombre;0-9 años;0;No aplica
2016;Lista de espera de donación de órganos;Pulmón;Hombre;10-19 años;0;No aplica
2016;Lista de espera de donación de órganos;Pulmón;Hombre;20-29 años;2;No aplica
2016;Lista de espera de donación de órganos;Pulmón;Hombre;30-39 años;1;No aplica
2016;Lista de espera de donación de órganos;Pulmón;Hombre;40-49 años;1;No aplica
2016;Lista de espera de donación de órganos;Pulmón;Hombre;50-59 años;4;No aplica
2016;Lista de espera de donación de órganos;Pulmón;Hombre;60-69 años;2;No aplica
2016;Lista de espera de donación de órganos;Pulmón;Hombre;> 70  años;0;No aplica
2016;Lista de espera de donación de órganos;Pulmón;Mujer;0-9 años;0;No aplica
2016;Lista de espera de donación de órganos;Pulmón;Mujer;10-19 años;0;No aplica
2016;Lista de espera de donación de órganos;Pulmón;Mujer;20-29 años;0;No aplica
2016;Lista de espera de donación de órganos;Pulmón;Mujer;30-39 años;1;No aplica
2016;Lista de espera de donación de órganos;Pulmón;Mujer;40-49 años;2;No aplica
2016;Lista de espera de donación de órganos;Pulmón;Mujer;50-59 años;4;No aplica
2016;Lista de espera de donación de órganos;Pulmón;Mujer;60-69 años;2;No aplica
2016;Lista de espera de donación de órganos;Pulmón;Mujer;> 70  años;0;No aplica
2016;Lista de espera de donación de órganos;Tejidos (Córneas);Hombre;0-9 años;2;No aplica
2016;Lista de espera de donación de órganos;Tejidos (Córneas);Hombre;10-19 años;11;No aplica
2016;Lista de espera de donación de órganos;Tejidos (Córneas);Hombre;20-29 años;48;No aplica
2016;Lista de espera de donación de órganos;Tejidos (Córneas);Hombre;30-39 años;73;No aplica
2016;Lista de espera de donación de órganos;Tejidos (Córneas);Hombre;40-49 años;28;No aplica
2016;Lista de espera de donación de órganos;Tejidos (Córneas);Hombre;50-59 años;55;No aplica
2016;Lista de espera de donación de órganos;Tejidos (Córneas);Hombre;60-69 años;29;No aplica
2016;Lista de espera de donación de órganos;Tejidos (Córneas);Hombre;> 70  años;48;No aplica
2016;Lista de espera de donación de órganos;Tejidos (Córneas);Mujer;0-9 años;2;No aplica
2016;Lista de espera de donación de órganos;Tejidos (Córneas);Mujer;10-19 años;4;No aplica
2016;Lista de espera de donación de órganos;Tejidos (Córneas);Mujer;20-29 años;34;No aplica
2016;Lista de espera de donación de órganos;Tejidos (Córneas);Mujer;30-39 años;50;No aplica
2016;Lista de espera de donación de órganos;Tejidos (Córneas);Mujer;40-49 años;44;No aplica
2016;Lista de espera de donación de órganos;Tejidos (Córneas);Mujer;50-59 años;47;No aplica
2016;Lista de espera de donación de órganos;Tejidos (Córneas);Mujer;60-69 años;28;No aplica
2016;Lista de espera de donación de órganos;Tejidos (Córneas);Mujer;> 70  años;71;No aplica
2017;Lista de espera de donación de órganos;Riñón;Hombre;0-9 años;10;No aplica
2017;Lista de espera de donación de órganos;Riñón;Hombre;10-19 años;20;No aplica
2017;Lista de espera de donación de órganos;Riñón;Hombre;20-29 años;111;No aplica
2017;Lista de espera de donación de órganos;Riñón;Hombre;30-39 años;186;No aplica
2017;Lista de espera de donación de órganos;Riñón;Hombre;40-49 años;205;No aplica
2017;Lista de espera de donación de órganos;Riñón;Hombre;50-59 años;246;No aplica
2017;Lista de espera de donación de órganos;Riñón;Hombre;60-69 años;154;No aplica
2017;Lista de espera de donación de órganos;Riñón;Hombre;> 70  años;35;No aplica
2017;Lista de espera de donación de órganos;Riñón;Mujer;0-9 años;5;No aplica
2017;Lista de espera de donación de órganos;Riñón;Mujer;10-19 años;26;No aplica
2017;Lista de espera de donación de órganos;Riñón;Mujer;20-29 años;98;No aplica
2017;Lista de espera de donación de órganos;Riñón;Mujer;30-39 años;168;No aplica
2017;Lista de espera de donación de órganos;Riñón;Mujer;40-49 años;140;No aplica
2017;Lista de espera de donación de órganos;Riñón;Mujer;50-59 años;151;No aplica
2017;Lista de espera de donación de órganos;Riñón;Mujer;60-69 años;65;No aplica
2017;Lista de espera de donación de órganos;Riñón;Mujer;> 70  años;8;No aplica
2017;Lista de espera de donación de órganos;Corazón;Hombre;0-9 años;0;No aplica
2017;Lista de espera de donación de órganos;Corazón;Hombre;10-19 años;0;No aplica
2017;Lista de espera de donación de órganos;Corazón;Hombre;20-29 años;0;No aplica
2017;Lista de espera de donación de órganos;Corazón;Hombre;30-39 años;2;No aplica
2017;Lista de espera de donación de órganos;Corazón;Hombre;40-49 años;1;No aplica
2017;Lista de espera de donación de órganos;Corazón;Hombre;50-59 años;2;No aplica
2017;Lista de espera de donación de órganos;Corazón;Hombre;60-69 años;1;No aplica
2017;Lista de espera de donación de órganos;Corazón;Hombre;> 70  años;0;No aplica
2017;Lista de espera de donación de órganos;Corazón;Mujer;0-9 años;0;No aplica
2017;Lista de espera de donación de órganos;Corazón;Mujer;10-19 años;0;No aplica
2017;Lista de espera de donación de órganos;Corazón;Mujer;20-29 años;0;No aplica
2017;Lista de espera de donación de órganos;Corazón;Mujer;30-39 años;0;No aplica
2017;Lista de espera de donación de órganos;Corazón;Mujer;40-49 años;0;No aplica
2017;Lista de espera de donación de órganos;Corazón;Mujer;50-59 años;1;No aplica
2017;Lista de espera de donación de órganos;Corazón;Mujer;60-69 años;0;No aplica
2017;Lista de espera de donación de órganos;Corazón;Mujer;> 70  años;0;No aplica
2017;Lista de espera de donación de órganos;Hígado;Hombre;0-9 años;2;No aplica
2017;Lista de espera de donación de órganos;Hígado;Hombre;10-19 años;1;No aplica
2017;Lista de espera de donación de órganos;Hígado;Hombre;20-29 años;1;No aplica
2017;Lista de espera de donación de órganos;Hígado;Hombre;30-39 años;3;No aplica
2017;Lista de espera de donación de órganos;Hígado;Hombre;40-49 años;3;No aplica
2017;Lista de espera de donación de órganos;Hígado;Hombre;50-59 años;9;No aplica
2017;Lista de espera de donación de órganos;Hígado;Hombre;60-69 años;13;No aplica
2017;Lista de espera de donación de órganos;Hígado;Hombre;> 70  años;0;No aplica
2017;Lista de espera de donación de órganos;Hígado;Mujer;0-9 años;15;No aplica
2017;Lista de espera de donación de órganos;Hígado;Mujer;10-19 años;2;No aplica
2017;Lista de espera de donación de órganos;Hígado;Mujer;20-29 años;4;No aplica
2017;Lista de espera de donación de órganos;Hígado;Mujer;30-39 años;5;No aplica
2017;Lista de espera de donación de órganos;Hígado;Mujer;40-49 años;6;No aplica
